FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,resultfile
people,http://10.10.10.220:5080/people,http://10.10.10.220:5080/users/sign_in,155,302,104,5,1,
pub,http://10.10.10.220:5080/pub,http://10.10.10.220:5080/users/sign_in,149,302,104,5,1,
copyright,http://10.10.10.220:5080/copyright,http://10.10.10.220:5080/users/sign_in,151,302,104,5,1,
common,http://10.10.10.220:5080/common,http://10.10.10.220:5080/users/sign_in,152,302,104,5,1,
site,http://10.10.10.220:5080/site,http://10.10.10.220:5080/users/sign_in,153,302,104,5,1,
logos,http://10.10.10.220:5080/logos,http://10.10.10.220:5080/users/sign_in,159,302,104,5,1,
sports,http://10.10.10.220:5080/sports,http://10.10.10.220:5080/users/sign_in,158,302,104,5,1,
comments,http://10.10.10.220:5080/comments,http://10.10.10.220:5080/users/sign_in,154,302,104,5,1,
buttons,http://10.10.10.220:5080/buttons,http://10.10.10.220:5080/users/sign_in,160,302,104,5,1,
product,http://10.10.10.220:5080/product,http://10.10.10.220:5080/users/sign_in,157,302,104,5,1,
aboutus,http://10.10.10.220:5080/aboutus,http://10.10.10.220:5080/users/sign_in,156,302,104,5,1,
english,http://10.10.10.220:5080/english,http://10.10.10.220:5080/users/sign_in,161,302,104,5,1,
image,http://10.10.10.220:5080/image,http://10.10.10.220:5080/users/sign_in,163,302,104,5,1,
story,http://10.10.10.220:5080/story,http://10.10.10.220:5080/users/sign_in,162,302,104,5,1,
blogs,http://10.10.10.220:5080/blogs,http://10.10.10.220:5080/users/sign_in,167,302,104,5,1,
gallery,http://10.10.10.220:5080/gallery,http://10.10.10.220:5080/users/sign_in,168,302,104,5,1,
31,http://10.10.10.220:5080/31,http://10.10.10.220:5080/users/sign_in,165,302,104,5,1,
uploads,http://10.10.10.220:5080/uploads,http://10.10.10.220:5080/users/sign_in,164,302,104,5,1,
subscribe,http://10.10.10.220:5080/subscribe,http://10.10.10.220:5080/users/sign_in,166,302,104,5,1,
atom,http://10.10.10.220:5080/atom,http://10.10.10.220:5080/users/sign_in,169,302,104,5,1,
music,http://10.10.10.220:5080/music,http://10.10.10.220:5080/users/sign_in,172,302,104,5,1,
stats,http://10.10.10.220:5080/stats,http://10.10.10.220:5080/users/sign_in,171,302,104,5,1,
newsletter,http://10.10.10.220:5080/newsletter,http://10.10.10.220:5080/users/sign_in,170,302,104,5,1,
careers,http://10.10.10.220:5080/careers,http://10.10.10.220:5080/users/sign_in,173,302,104,5,1,
pages,http://10.10.10.220:5080/pages,http://10.10.10.220:5080/users/sign_in,174,302,104,5,1,
technology,http://10.10.10.220:5080/technology,http://10.10.10.220:5080/users/sign_in,176,302,104,5,1,
publications,http://10.10.10.220:5080/publications,http://10.10.10.220:5080/users/sign_in,175,302,104,5,1,
calendar,http://10.10.10.220:5080/calendar,http://10.10.10.220:5080/users/sign_in,177,302,104,5,1,
photos,http://10.10.10.220:5080/photos,http://10.10.10.220:5080/users/sign_in,179,302,104,5,1,
papers,http://10.10.10.220:5080/papers,http://10.10.10.220:5080/users/sign_in,180,302,104,5,1,
stories,http://10.10.10.220:5080/stories,http://10.10.10.220:5080/users/sign_in,178,302,104,5,1,
community,http://10.10.10.220:5080/community,http://10.10.10.220:5080/users/sign_in,181,302,104,5,1,
history,http://10.10.10.220:5080/history,http://10.10.10.220:5080/users/sign_in,183,302,104,5,1,
data,http://10.10.10.220:5080/data,http://10.10.10.220:5080/users/sign_in,182,302,104,5,1,
arrow,http://10.10.10.220:5080/arrow,http://10.10.10.220:5080/users/sign_in,184,302,104,5,1,
s,http://10.10.10.220:5080/s,http://10.10.10.220:5080/users/sign_in,187,302,104,5,1,
submit,http://10.10.10.220:5080/submit,http://10.10.10.220:5080/users/sign_in,185,302,104,5,1,
www,http://10.10.10.220:5080/www,http://10.10.10.220:5080/users/sign_in,186,302,104,5,1,
web,http://10.10.10.220:5080/web,http://10.10.10.220:5080/users/sign_in,188,302,104,5,1,
library,http://10.10.10.220:5080/library,http://10.10.10.220:5080/users/sign_in,189,302,104,5,1,
header,http://10.10.10.220:5080/header,http://10.10.10.220:5080/users/sign_in,191,302,104,5,1,
education,http://10.10.10.220:5080/education,http://10.10.10.220:5080/users/sign_in,192,302,104,5,1,
wiki,http://10.10.10.220:5080/wiki,http://10.10.10.220:5080/users/sign_in,190,302,104,5,1,
